Priemonė,Modelis,Kaina 24h,Kaina sav,Kaina mėn,Greitis,Atstumas,Krovimo laikas,Nuoroda
Paspirtukas,Xiaomi M365 1S,10,35,70,25,27,5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/xiaomi-m365-1s-elektrinis-paspirtukas-9799
Paspirtukas,Xiaomi mi 1S,5,35,70,25,30,5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/xiaomi-mi-1s-elektrinis-paspirtukas-16003
Paspirtukas,Xiaomi M365,8,40,,25,27,4.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/xiaomi-m365-elektrinis-paspirtukas-9976
Paspirtukas,XIAOMI MI 365,8,40,80,25,27,4.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/elektrinis-paspirtukas-xiaomi-mi-365-16422
Paspirtukas,XIAOMI MI 365,12,60,120,25,27,4.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/xiaomi-mi-365-elektrinis-paspirtukas-18841
Paspirtukas,XIAOMI MI 365,8,40,80,25,27,4.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/elektrinis-paspirtukas-xiaomi-mi-365-22629
Paspirtukas,Xiaomi Mi M365,7,40,100,25,27,4.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/paspirtuko-nuoma-xiaomi-mi-m365-20868
Paspirtukas,M365 Pro,7,45,,30,45,8.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/m365-pro-elektrinis-paspirtukas-12554
Paspirtukas,Xiaomi M365 Pro,12,,,25,45,8.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/xiaomi-m365-pro-galimas-pristatymas-15335
Paspirtukas,Xiaomi M365 Pro,12,60,200,25,45,8.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/elektrinis-paspirtukas-xiaomi-m365-pro-15430
Paspirtukas,XIAOMI MI Pro 2,8,40,80,25,45,8.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/elektrinis-paspirtukas-xiaomi-mi-pro-2-19848
Paspirtukas,XIAOMI Mi Pro 2,12,60,120,25,45,8.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/elektrinis-paspirtukas-xiaomi-mi-pro-2-21150
Paspirtukas,XIAOMI Mi Pro 2,12,60,180,25,45,8.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/elektrinis-paspirtukas-xiaomi-mi-pro-2-21151
Paspirtukas,Xiaomi Pro2,15,80,,25,45,8.5,https://www.dalinuosi.lt/dviraciu-paspirtuku-nuoma/vilnius/xiomi-pro2-26100
